Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
28,62.279410503414155,[1 3 9 4 8 7 2 0 5 6],2000,200,0.9,200,0.01779317855834961
4,62.279410503414155,[1 3 9 4 8 7 2 0 5 6],2000,200,0.9,200,0.024461746215820312
65,62.279410503414155,[1 3 9 4 8 7 2 0 5 6],2000,200,0.9,200,0.026134490966796875
76,62.279410503414155,[1 3 9 4 8 7 2 0 5 6],2000,200,0.9,200,0.03533315658569336
43,62.279410503414155,[1 3 9 4 8 7 2 0 5 6],2000,200,0.9,200,0.03916788101196289
54,62.279410503414155,[1 3 9 4 8 7 2 0 5 6],2000,200,0.9,200,0.15315937995910645
88,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],2000,200,0.9,200,0.031233549118041992
94,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],2000,200,0.9,200,0.03777194023132324
33,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],2000,200,0.9,200,0.04178762435913086
61,63.5238716304319,[3 1 4 9 8 7 2 0 5 6],2000,200,0.9,200,0.16713666915893555
31,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],2000,200,0.9,200,0.014181375503540039
1,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],2000,200,0.9,200,0.016234159469604492
26,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],2000,200,0.9,200,0.018062353134155273
79,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],2000,200,0.9,200,0.03921937942504883
78,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],2000,200,0.9,200,0.0489649772644043
48,63.82018693215558,[2 7 8 4 9 3 1 0 5 6],2000,200,0.9,200,0.07121586799621582
8,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.014964818954467773
16,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.017231464385986328
9,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.018975257873535156
12,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.01919388771057129
24,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.02089381217956543
10,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.023755311965942383
96,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.03320956230163574
82,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.034761667251586914
83,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.03525257110595703
99,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.05701851844787598
64,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.06672000885009766
75,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.07068228721618652
66,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.07785964012145996
53,64.7535167316519,[6 5 0 2 7 8 4 9 3 1],2000,200,0.9,200,0.14117050170898438
7,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],2000,200,0.9,200,0.01813483238220215
2,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],2000,200,0.9,200,0.021610498428344727
50,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],2000,200,0.9,200,0.06124162673950195
52,65.02771435337499,[6 5 0 1 3 9 4 8 7 2],2000,200,0.9,200,0.15619850158691406
71,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],2000,200,0.9,200,0.02092266082763672
38,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],2000,200,0.9,200,0.02315664291381836
40,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],2000,200,0.9,200,0.024296998977661133
46,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],2000,200,0.9,200,0.02924823760986328
68,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],2000,200,0.9,200,0.0428924560546875
93,66.21332209857488,[6 5 0 4 1 3 9 8 7 2],2000,200,0.9,200,0.04369854927062988
92,69.73795785829189,[9 8 7 2 4 3 1 0 5 6],2000,200,0.9,200,0.030936002731323242
91,69.73795785829189,[9 8 7 2 4 3 1 0 5 6],2000,200,0.9,200,0.03762388229370117
58,69.73795785829189,[9 8 7 2 4 3 1 0 5 6],2000,200,0.9,200,0.11397266387939453
5,71.1577028791648,[0 1 3 9 4 8 7 2 5 6],2000,200,0.9,200,0.01796126365661621
63,71.1577028791648,[0 1 3 9 4 8 7 2 5 6],2000,200,0.9,200,0.03282284736633301
51,71.1577028791648,[0 1 3 9 4 8 7 2 5 6],2000,200,0.9,200,0.046515464782714844
85,71.49323764054299,[7 2 1 3 9 8 4 0 5 6],2000,200,0.9,200,0.04401445388793945
72,71.6298886356218,[8 4 9 3 1 0 5 6 2 7],2000,200,0.9,200,0.023491382598876953
95,71.6298886356218,[8 4 9 3 1 0 5 6 2 7],2000,200,0.9,200,0.038984060287475586
22,71.73086891146599,[3 9 8 7 2 4 1 0 5 6],2000,200,0.9,200,0.012825250625610352
70,72.32370499368955,[1 3 9 8 4 0 5 6 2 7],2000,200,0.9,200,0.024111270904541016
11,73.32062727114482,[6 5 2 7 8 4 9 3 1 0],2000,200,0.9,200,0.014876365661621094
13,73.32062727114482,[6 5 2 7 8 4 9 3 1 0],2000,200,0.9,200,0.01736140251159668
98,73.32062727114482,[6 5 2 7 8 4 9 3 1 0],2000,200,0.9,200,0.05118727684020996
34,73.55197443243868,[3 1 0 5 6 2 7 8 4 9],2000,200,0.9,200,0.01651787757873535
62,73.55197443243868,[3 1 0 5 6 2 7 8 4 9],2000,200,0.9,200,0.024341821670532227
45,73.60985423898977,[7 2 6 5 0 1 3 9 4 8],2000,200,0.9,200,0.02366471290588379
32,73.60985423898977,[7 2 6 5 0 1 3 9 4 8],2000,200,0.9,200,0.033296823501586914
49,73.80545902910899,[6 5 0 4 8 9 3 1 2 7],2000,200,0.9,200,0.03764009475708008
37,73.8147383827336,[9 4 3 1 0 5 6 2 7 8],2000,200,0.9,200,0.02048516273498535
89,73.8147383827336,[9 4 3 1 0 5 6 2 7 8],2000,200,0.9,200,0.051076650619506836
80,74.11511224039283,[0 2 7 8 4 9 3 1 5 6],2000,200,0.9,200,0.03546285629272461
74,74.11511224039283,[0 2 7 8 4 9 3 1 5 6],2000,200,0.9,200,0.06022381782531738
3,74.22411092257167,[2 7 9 3 1 4 8 0 5 6],2000,200,0.9,200,0.014611959457397461
69,74.32969111651919,[6 5 2 7 8 9 3 1 4 0],2000,200,0.9,200,0.03049302101135254
23,74.56103827781305,[3 1 4 0 5 6 2 7 8 9],2000,200,0.9,200,0.014791727066040039
35,74.56103827781305,[3 1 4 0 5 6 2 7 8 9],2000,200,0.9,200,0.019913196563720703
20,74.56150750935348,[6 5 0 4 9 8 7 2 1 3],2000,200,0.9,200,0.019576072692871094
44,74.59926828426497,[7 2 6 5 0 4 8 9 3 1],2000,200,0.9,200,0.023255348205566406
90,74.59926828426497,[7 2 6 5 0 4 8 9 3 1],2000,200,0.9,200,0.04140782356262207
77,74.63885292527979,[8 7 2 6 5 0 4 9 3 1],2000,200,0.9,200,0.047981977462768555
67,74.79546198418964,[7 2 6 5 0 4 1 3 9 8],2000,200,0.9,200,0.030749082565307617
14,75.12237121317128,[9 4 8 7 2 6 5 0 1 3],2000,200,0.9,200,0.018195390701293945
56,75.12237121317128,[9 4 8 7 2 6 5 0 1 3],2000,200,0.9,200,0.0965566635131836
57,75.12237121317128,[9 4 8 7 2 6 5 0 1 3],2000,200,0.9,200,0.1063227653503418
36,75.22743810062494,[3 9 8 4 1 0 5 6 2 7],2000,200,0.9,200,0.01481771469116211
6,75.26145268899491,[6 5 1 3 9 4 8 7 2 0],2000,200,0.9,200,0.018341064453125
19,75.31445794734499,[8 7 2 6 5 0 1 3 4 9],2000,200,0.9,200,0.018895626068115234
30,75.41620520740678,[1 0 5 6 2 7 8 4 9 3],2000,200,0.9,200,0.01949596405029297
25,75.41620520740678,[1 0 5 6 2 7 8 4 9 3],2000,200,0.9,200,0.026028871536254883
87,75.81862008123318,[4 8 7 2 6 5 0 1 3 9],2000,200,0.9,200,0.038086891174316406
41,76.09653134367977,[6 5 0 8 4 1 3 9 7 2],2000,200,0.9,200,0.0846395492553711
27,76.29029538802035,[1 3 9 8 7 2 6 5 0 4],2000,200,0.9,200,0.0212554931640625
39,77.05079464508307,[3 9 4 8 7 2 6 5 0 1],2000,200,0.9,200,0.027559280395507812
84,78.02452522085471,[7 8 4 9 3 1 0 5 6 2],2000,200,0.9,200,0.04886054992675781
17,78.23640239028295,[3 9 8 7 2 6 5 0 4 1],2000,200,0.9,200,0.022525310516357422
21,78.43755551552266,[9 3 1 0 5 6 4 8 7 2],2000,200,0.9,200,0.014653921127319336
97,78.43755551552266,[9 3 1 0 5 6 4 8 7 2],2000,200,0.9,200,0.026972532272338867
60,78.72430698756851,[9 3 1 5 6 0 4 8 7 2],2000,200,0.9,200,0.12336969375610352
73,79.0291672264052,[2 7 8 4 0 5 6 1 3 9],2000,200,0.9,200,0.05239248275756836
18,79.141466635225,[9 4 0 5 6 2 7 8 3 1],2000,200,0.9,200,0.020784616470336914
86,79.141466635225,[9 4 0 5 6 2 7 8 3 1],2000,200,0.9,200,0.037470340728759766
0,79.22213857563523,[8 2 7 6 5 0 1 3 4 9],2000,200,0.9,200,0.017748117446899414
81,79.63987362780645,[2 7 8 9 4 5 6 0 1 3],2000,200,0.9,200,0.04882073402404785
55,79.63987362780645,[2 7 8 9 4 5 6 0 1 3],2000,200,0.9,200,0.15934038162231445
29,80.90044218912062,[2 6 5 0 4 1 3 9 8 7],2000,200,0.9,200,0.020319223403930664
15,82.16157525948628,[8 9 4 0 5 6 2 7 1 3],2000,200,0.9,200,0.015637874603271484
42,84.67566235949894,[6 2 7 8 4 5 0 1 3 9],2000,200,0.9,200,0.03777670860290527
47,85.47694702972692,[6 2 7 8 9 4 5 0 1 3],2000,200,0.9,200,0.05720829963684082
59,90.4679521692367,[9 4 5 0 1 3 8 7 2 6],2000,200,0.9,200,0.09966492652893066
